Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots,ShotsOnTarget,ShotsOnTarget_pct,Passes,PassesAccurate,PassAccuracy_pct,Possession_pct,Losses,Losses_Low,Losses_Medium,Losses_High,Recoveries,Recoveries_Low,Recoveries_Medium,Recoveries_High,Duels,DuelsWon,DuelsWon_pct,ShotsOutsideBox,ShotsOutsideBox_OnTarget,ShotsOutsideBox_OnTarget_pct,PositionalAttacks,PositionalAttacks_withShots,PositionalAttacks_withShots_pct,Counterattacks,Counterattacks_withShots,Counterattacks_withShots_pct,SetPieces,SetPieces_withShots,SetPieces_withShots_pct,Corners,Corners_withShots,Corners_withShots_pct,FreeKicks,FreeKicks_withShots,FreeKicks_withShots_pct,Penalties,Penalties_Converted,Penalties_Converted_pct,Crosses,CrossesAccurate,CrossesAccurate_pct,DeepCompletedCrosses,DeepCompletedPasses,PenaltyAreaEntries,PenaltyAreaEntries_Runs,PenaltyAreaEntries_Crosses,TouchesInPenaltyArea,OffensiveDuels,OffensiveDuelsWon,OffensiveDuelsWon_pct,Offsides,ConcededGoals,ShotsAgainst,ShotsAgainstOnTarget,ShotsAgainstOnTarget_pct,DefensiveDuels,DefensiveDuelsWon,DefensiveDuelsWon_pct,AerialDuels,AerialDuelsWon,AerialDuelsWon_pct,SlidingTackles,SlidingTacklesSuccessful,SlidingTacklesSuccessful_pct,Interceptions,Clearances,Fouls,YellowCards,RedCards,ForwardPasses,ForwardPassesAccurate,ForwardPassesAccurate_pct,BackPasses,BackPassesAccurate,BackPassesAccurate_pct,LateralPasses,LateralPassesAccurate,LateralPassesAccurate_pct,LongPasses,LongPassesAccurate,LongPassesAccurate_pct,PassesToFinalThird,PassesToFinalThirdAccurate,PassesToFinalThirdAccurate_pct,ProgressivePasses,ProgressivePassesAccurate,ProgressivePassesAccurate_pct,SmartPasses,SmartPassesAccurate,SmartPassesAccurate_pct,ThrowIns,ThrowInsAccurate,ThrowInsAccurate_pct,GoalKicks,MatchTempo,AvgPassesPerPossession,LongPass_pct,AvgShotDistance,AvgPassLength,PPDA,Result,GoalsFor,GoalsAgainst,HomeAway,Opponent,Season,xG_diff
2022-10-02,Creighton Bluejays - Villanova Wildcats 3:1,United States. NCAA D1 Big East,100.0,Creighton Bluejays,4-3-3 (100.0%),3.0,3.28,22.0,7.0,31.82,591.0,509.0,86.13,59.3,110.0,20.0,38.0,52.0,95.0,36.0,40.0,19.0,250.0,124.0,49.6,5.0,2.0,40.0,43.0,15.0,34.88,1.0,0.0,0.0,24.0,6.0,25.0,7.0,4.0,57.14,1.0,0.0,0.0,1.0,1.0,100.0,27.0,12.0,44.44,9.0,28.0,55.0,23.0,8.0,60.0,107.0,45.0,42.06,2.0,1.0,13.0,5.0,38.46,86.0,54.0,62.79,34.0,15.0,44.12,3.0,2.0,66.67,50.0,12.0,9.0,0.0,0.0,193.0,168.0,87.05,92.0,80.0,86.96,217.0,188.0,86.64,50.0,33.0,66.0,75.0,61.0,81.33,105.0,82.0,78.1,11.0,9.0,81.82,21.0,20.0,95.24,7.0,17.89,5.14,8.46,15.55,19.21,7.33,Win,3,1,Home,Villanova Wildcats,2022,-0.2799999999999998
2022-09-24,Georgetown Hoyas - Creighton Bluejays 2:1,United States. NCAA D1 Big East,99.0,Creighton Bluejays,5-4-1 (96.14%),1.0,3.82,29.0,8.0,27.59,579.0,490.0,84.63,63.17,131.0,20.0,42.0,69.0,114.0,42.0,47.0,25.0,259.0,131.0,50.58,14.0,3.0,21.43,50.0,20.0,40.0,0.0,0.0,0.0,26.0,6.0,23.08,4.0,2.0,50.0,2.0,0.0,0.0,2.0,1.0,50.0,17.0,12.0,70.59,11.0,19.0,39.0,10.0,9.0,36.0,104.0,44.0,42.31,0.0,2.0,21.0,9.0,42.86,93.0,59.0,63.44,31.0,17.0,54.84,12.0,8.0,66.67,55.0,17.0,12.0,2.0,0.0,201.0,149.0,74.13,81.0,74.0,91.36,221.0,205.0,92.76,62.0,33.0,53.23,85.0,64.0,75.29,119.0,97.0,81.51,0.0,0.0,0.0,21.0,20.0,95.24,8.0,18.28,4.23,10.71,18.3,19.46,4.95,Loss,1,2,Away,Georgetown Hoyas,2022,-2.82
2022-09-19,Creighton Bluejays - UCONN Huskies 1:1,United States. NCAA D1 Big East,107.0,Creighton Bluejays,3-4-3 (100.0%),1.0,1.38,14.0,3.0,21.43,549.0,471.0,85.79,60.18,127.0,11.0,42.0,74.0,99.0,41.0,45.0,13.0,239.0,124.0,51.88,7.0,2.0,28.57,33.0,9.0,27.27,1.0,0.0,0.0,37.0,3.0,8.11,7.0,1.0,14.29,3.0,1.0,33.33,0.0,0.0,0.0,11.0,4.0,36.36,4.0,6.0,30.0,9.0,8.0,18.0,93.0,41.0,44.09,1.0,1.0,9.0,3.0,33.33,83.0,51.0,61.45,25.0,15.0,60.0,6.0,2.0,33.33,34.0,4.0,21.0,4.0,0.0,207.0,158.0,76.33,77.0,76.0,98.7,177.0,154.0,87.01,53.0,33.0,62.26,79.0,58.0,73.42,78.0,65.0,83.33,3.0,1.0,33.33,21.0,19.0,90.48,9.0,16.96,4.5,9.65,18.19,18.84,6.81,Draw,1,1,Home,UCONN Huskies,2022,-0.3799999999999999
2022-09-15,Omaha Mavericks - Creighton Bluejays 1:6,United States. NCAA D1 Non-conference matches,103.0,Creighton Bluejays,5-4-1 (100.0%),6.0,2.12,20.0,11.0,55.0,675.0,593.0,87.85,64.77,97.0,6.0,40.0,51.0,94.0,28.0,51.0,15.0,213.0,114.0,53.52,8.0,4.0,50.0,42.0,13.0,30.95,2.0,1.0,50.0,36.0,6.0,16.67,9.0,3.0,33.33,1.0,0.0,0.0,0.0,0.0,0.0,17.0,6.0,35.29,6.0,12.0,38.0,13.0,6.0,37.0,92.0,35.0,38.04,0.0,1.0,6.0,4.0,66.67,85.0,57.0,67.06,19.0,13.0,68.42,2.0,2.0,100.0,24.0,2.0,19.0,3.0,0.0,211.0,174.0,82.46,92.0,85.0,92.39,294.0,275.0,93.54,44.0,27.0,61.36,89.0,66.0,74.16,102.0,92.0,90.2,14.0,8.0,57.14,18.0,16.0,88.89,2.0,17.98,5.53,6.52,17.49,18.2,6.95,Win,6,1,Away,Omaha Mavericks,2022,3.88
2022-09-10,Creighton Bluejays - Stanford Cardinal 1:1,United States. NCAA D1 Non-conference matches,96.0,Creighton Bluejays,5-4-1 (100.0%),1.0,2.3,11.0,4.0,36.36,534.0,423.0,79.21,64.15,148.0,20.0,51.0,77.0,111.0,42.0,42.0,27.0,237.0,120.0,50.63,4.0,2.0,50.0,43.0,8.0,18.6,0.0,0.0,0.0,32.0,3.0,9.38,8.0,3.0,37.5,1.0,0.0,0.0,0.0,0.0,0.0,18.0,4.0,22.22,6.0,12.0,34.0,8.0,10.0,27.0,87.0,46.0,52.87,2.0,1.0,14.0,6.0,42.86,50.0,29.0,58.0,43.0,20.0,46.51,12.0,7.0,58.33,48.0,14.0,13.0,0.0,0.0,174.0,120.0,68.97,61.0,56.0,91.8,206.0,177.0,85.92,52.0,27.0,51.92,73.0,51.0,69.86,80.0,56.0,70.0,11.0,2.0,18.18,30.0,26.0,86.67,11.0,16.17,4.17,9.74,15.64,19.17,6.76,Draw,1,1,Home,Stanford Cardinal,2022,-1.2999999999999998
2022-09-06,Creighton Bluejays - San Diego State Aztecs 2:2,United States. NCAA D1 Non-conference matches,103.0,Creighton Bluejays,5-4-1 (100.0%),2.0,2.67,19.0,8.0,42.11,696.0,607.0,87.21,71.36,120.0,18.0,30.0,72.0,104.0,40.0,48.0,16.0,222.0,108.0,48.65,5.0,2.0,40.0,47.0,14.0,29.79,2.0,0.0,0.0,31.0,4.0,12.9,10.0,1.0,10.0,3.0,1.0,33.33,0.0,0.0,0.0,20.0,6.0,30.0,6.0,14.0,41.0,11.0,11.0,38.0,91.0,44.0,48.35,4.0,2.0,8.0,3.0,37.5,60.0,36.0,60.0,37.0,14.0,37.84,10.0,5.0,50.0,23.0,9.0,10.0,4.0,0.0,211.0,167.0,79.15,97.0,92.0,94.85,280.0,259.0,92.5,38.0,20.0,52.63,94.0,72.0,76.6,92.0,81.0,88.04,11.0,2.0,18.18,18.0,16.0,88.89,3.0,16.97,5.66,5.46,15.89,18.69,5.14,Draw,2,2,Home,San Diego State Aztecs,2022,-0.6699999999999999
2022-09-03,Creighton Bluejays - Saint Louis Billikens 2:3,United States. NCAA D1 Non-conference matches,112.0,Creighton Bluejays,5-4-1 (100.0%),2.0,2.26,25.0,10.0,40.0,587.0,494.0,84.16,67.72,129.0,8.0,45.0,76.0,101.0,41.0,42.0,18.0,253.0,138.0,54.55,10.0,4.0,40.0,36.0,17.0,47.22,0.0,0.0,0.0,46.0,7.0,15.22,11.0,4.0,36.36,3.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,41.67,7.0,14.0,39.0,8.0,9.0,39.0,92.0,45.0,48.91,2.0,3.0,9.0,4.0,44.44,57.0,38.0,66.67,63.0,38.0,60.32,10.0,6.0,60.0,20.0,7.0,13.0,3.0,0.0,177.0,135.0,76.27,79.0,74.0,93.67,250.0,222.0,88.8,61.0,34.0,55.74,81.0,55.0,67.9,90.0,73.0,81.11,2.0,1.0,50.0,19.0,18.0,94.74,6.0,17.29,4.41,10.39,18.82,19.6,6.85,Loss,2,3,Home,Saint Louis Billikens,2022,-0.2599999999999998
2022-08-29,Creighton Bluejays - Rutgers Scarlet Knights 6:1,United States. NCAA D1 Non-conference matches,110.0,Creighton Bluejays,4-3-3 (100.0%),6.0,3.25,22.0,12.0,54.55,427.0,351.0,82.2,58.61,112.0,10.0,32.0,70.0,94.0,37.0,34.0,23.0,227.0,103.0,45.37,7.0,3.0,42.86,52.0,11.0,21.15,0.0,0.0,0.0,32.0,9.0,28.13,12.0,3.0,25.0,4.0,1.0,25.0,0.0,0.0,0.0,13.0,7.0,53.85,4.0,14.0,38.0,12.0,10.0,32.0,99.0,32.0,32.32,3.0,1.0,9.0,5.0,55.56,58.0,44.0,75.86,38.0,16.0,42.11,9.0,6.0,66.67,19.0,5.0,14.0,2.0,0.0,159.0,119.0,74.84,49.0,46.0,93.88,162.0,139.0,85.8,42.0,26.0,61.9,71.0,49.0,69.01,97.0,80.0,82.47,3.0,2.0,66.67,33.0,25.0,75.76,5.0,14.37,3.21,9.84,16.74,20.59,7.05,Win,6,1,Home,Rutgers Scarlet Knights,2022,2.75
2022-08-26,Creighton Bluejays - Oakland Golden Grizzlies 6:0,United States. NCAA D1 Non-conference matches,107.0,Creighton Bluejays,3-4-3 (100.0%),6.0,5.83,30.0,15.0,50.0,544.0,461.0,84.74,54.49,112.0,9.0,33.0,70.0,112.0,31.0,56.0,25.0,209.0,109.0,52.15,10.0,4.0,40.0,59.0,23.0,38.98,0.0,0.0,0.0,22.0,5.0,22.73,6.0,2.0,33.33,3.0,0.0,0.0,1.0,1.0,100.0,23.0,8.0,34.78,6.0,20.0,50.0,14.0,11.0,53.0,83.0,43.0,51.81,5.0,0.0,3.0,2.0,66.67,55.0,33.0,60.0,30.0,15.0,50.0,7.0,3.0,42.86,35.0,12.0,13.0,3.0,0.0,191.0,158.0,82.72,87.0,80.0,91.95,170.0,140.0,82.35,51.0,34.0,66.67,69.0,53.0,76.81,92.0,81.0,88.04,9.0,5.0,55.56,18.0,18.0,100.0,2.0,17.95,4.32,9.38,16.0,17.44,8.41,Win,6,0,Home,Oakland Golden Grizzlies,2022,0.16999999999999993
2023-11-04,Providence Friars - Creighton Bluejays 3:0,United States. NCAA D1 Big East,93.0,Creighton Bluejays,3-4-1-2 (100.0%),0.0,2.09,14.0,3.0,21.43,377.0,297.0,78.78,54.47,111.0,17.0,38.0,56.0,96.0,30.0,49.0,17.0,234.0,118.0,50.43,1.0,1.0,100.0,29.0,7.0,24.14,1.0,1.0,100.0,34.0,6.0,17.65,9.0,3.0,33.33,2.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,40.0,5.0,11.0,28.0,5.0,8.0,30.0,90.0,41.0,45.56,2.0,2.0,8.0,3.0,37.5,67.0,38.0,56.72,48.0,25.0,52.08,5.0,2.0,40.0,25.0,3.0,12.0,1.0,0.0,121.0,81.0,66.94,48.0,43.0,89.58,161.0,143.0,88.82,55.0,32.0,58.18,57.0,37.0,64.91,66.0,48.0,72.73,5.0,1.0,20.0,26.0,21.0,80.77,7.0,13.59,3.28,14.59,13.61,21.71,9.32,Loss,0,3,Away,Providence Friars,2023,-2.09
